"id";"card_number";"transaction_date";"value";"segment"
CTID28830551;"1629-9566-3285-2123";2016-04-24;23649;SEG25
CTID45504917;"3697-6001-4909-5350";2016-02-11;26726;SEG16
CTID47312290;"5864-4475-3659-1440";2016-11-01;22012;SEG14
CTID25637718;"5991-4421-8476-3804";2016-01-28;37637;SEG17
CTID66743960;"1893-8853-9900-8478";2016-03-17;5113;SEG14
CTID22308010;"5206-5979-9383-4538";2016-05-15;9551;SEG13
CTID41917614;"5129-6974-6371-2964";2016-07-11;29511;SEG13
CTID24523483;"9930-4634-8565-6716";2016-07-26;27830;SEG21
CTID59109135;"4092-8604-7363-3393";2016-01-16;35328;SEG18
CTID62465865;"3594-2190-6052-1265";2016-11-06;9567;SEG21
CTID17879551;"5349-1963-8417-8327";2016-10-25;40606;SEG17
CTID24250639;"5689-2440-9593-1931";2016-04-30;35617;SEG17
CTID14284190;"1616-5911-1676-5466";2016-07-31;5014;SEG18
CTID65086055;"8177-5533-1183-4063";2016-11-20;47634;SEG12
CTID83907454;"2056-7091-8023-1914";2016-11-03;12061;SEG22
CTID50406334;"4971-8219-1133-6753";2016-12-27;8073;SEG18
CTID99443343;"8691-3939-1859-5937";2016-12-01;10138;SEG25
CTID18591064;"8706-3809-5167-3899";2016-06-05;46113;SEG19
CTID64008410;"2495-1344-4998-6045";2016-07-02;39195;SEG23
CTID99000301;"7047-9622-9693-9968";2016-10-31;18604;SEG11
CTID62951258;"5583-9751-6086-5673";2016-05-31;24874;SEG24
CTID36318745;"1683-2865-3396-4925";2016-07-07;33895;SEG16
CTID27479043;"7334-1842-5941-2149";2016-04-16;49582;SEG23
CTID85408878;"8462-5562-6993-2745";2016-03-04;32989;SEG25
CTID96274982;"8850-8297-4094-3048";2016-06-06;14443;SEG17
CTID77584673;"8522-7783-9262-6673";2016-08-29;32877;SEG25
CTID57240151;"3810-4783-2207-7703";2016-04-26;13737;SEG11
CTID26081247;"9779-2601-5260-2896";2016-12-28;35442;SEG20
CTID40734247;"6620-4005-4574-6263";2016-03-16;41496;SEG20
CTID59592896;"5618-9718-9367-2102";2016-02-21;26716;SEG16
CTID69906257;"6697-9358-9213-4896";2016-02-27;47236;SEG19
CTID68686851;"5580-3409-5276-9882";2016-08-25;11647;SEG12
CTID67647108;"3158-1638-7701-9309";2016-08-18;28833;SEG25
